aid,cid,reply,danmu,favorite,coin,share,like,dislike,tname
543756336,286453684,1593,1379,2609,5785,2451,29985,0,财经商业
83464283,142786933,518,958,12687,2137,1954,12612,0,音乐现场
455053059,314608696,3738,12817,18795,13529,4764,35011,0,明星综合
682189238,546134541,157,99,128,501,26,1970,0,手办·模玩
75395511,128962327,1241,3065,29967,12376,9786,50915,0,粉丝创作
540467795,183605037,5103,11437,79723,22817,16955,98599,0,音乐综合
540498459,183136937,3120,5650,29313,48050,8810,48159,0,演奏
252109995,453880013,375,272,6988,6943,787,10930,0,粉丝创作
20997610,34429053,832,4807,24259,5901,3063,12842,0,粉丝创作
31541638,75405462,10407,29385,88231,77064,67367,91590,0,音乐综合
211433950,506783707,124,150,856,1239,285,2630,0,粉丝创作
90377261,154338368,3209,7838,8221,13289,3758,25087,0,娱乐杂谈
424460517,540272365,226,590,104,50,51,1351,0,明星综合
95509381,163056931,923,899,7747,1233,1525,30915,0,明星综合
14143360,23088031,1231,50350,29667,8625,2191,14446,0,明星综合
253206044,483937615,473,870,2876,3412,256,4580,0,音乐综合
339448670,518320109,28,28,380,25,13,742,0,综艺
51493539,90768793,2065,24018,20997,8107,4905,21252,0,粉丝创作
211705215,514039665,9,21,17,0,8,195,0,明星综合
41732787,73274762,3329,20475,7943,3009,1402,13898,0,音乐综合
713778378,286344600,6526,3878,14815,13275,2935,19871,0,粉丝创作
75552330,129244913,1368,3726,4754,1016,790,14432,0,综艺
90149407,153963507,3892,10759,18849,20599,6892,34188,0,综艺
15846454,25854419,2097,6496,41411,4581,5464,29590,0,娱乐杂谈
467013666,541717619,104,239,335,152,207,1140,0,明星综合
593932099,505550129,45,20,729,63,27,2460,0,音乐现场
893734904,499334304,245,437,1546,2238,160,3283,0,粉丝创作
67438234,116930011,2244,15905,22428,20944,5828,28448,0,粉丝创作
592959506,476253122,549,635,1725,2786,531,4235,0,粉丝创作
422019916,453580102,882,581,1888,2063,1043,10606,0,搞笑
92638464,158170373,1417,1485,11416,966,1898,49049,0,明星综合
41151047,72277656,4841,67898,109290,49690,10273,132089,0,音乐综合
424638007,546432130,54,4,26,4,29,551,0,粉丝创作
64595284,112141087,2586,14837,28609,9366,11202,32610,0,音乐现场
210597135,479944728,16,12,448,78,2,934,0,明星综合
75819667,129700229,5213,12295,31950,39363,10140,37241,0,音乐现场
543843036,285948195,3086,1603,3700,1823,8893,20211,0,音乐现场
421897774,449783012,918,1752,15479,6859,6098,17702,0,明星综合
294528642,452792810,15904,20690,31897,49349,19827,42476,0,音乐现场
978059510,480738050,5709,7545,31232,2682,695,285686,0,音乐综合
294657565,457621075,16,7,523,91,0,771,0,娱乐杂谈
464601272,451214175,1247,861,579,72,66,7680,0,娱乐杂谈
808216333,483915171,623,536,308,44,6,1295,0,明星综合
84557871,144621818,1180,4289,26887,13949,5998,31571,0,粉丝创作
48178615,84388857,962,3500,5634,955,304,22880,0,音乐综合
978840707,501506558,194,224,806,951,112,3280,0,音乐综合
82719461,141522360,1145,2735,25088,15901,3133,33511,0,粉丝创作
423989916,507071159,114,15,1578,388,69,3719,0,音乐现场
22799580,37865597,644,1960,4733,1470,448,4645,0,影视剪辑
295312783,476849496,1210,654,2203,3515,667,8055,0,粉丝创作
719683311,473549386,567,670,9796,4048,4483,11207,0,音乐现场
582943326,183604665,442,383,4847,617,363,23792,0,明星综合
979472110,540758405,86,9,123,15,17,744,0,综艺
295289458,475787245,245,184,3850,3457,328,5189,0,粉丝创作
979263086,517207588,231,364,2054,695,275,3275,0,综艺
1211244,1811026,7375,72990,29903,8870,5336,16804,0,音乐现场
719701942,457550668,914,384,8943,11185,2570,14602,0,音乐综合
50225246,88141346,2544,4314,15119,22838,4774,21951,0,粉丝创作
379649851,457456249,778,801,8441,3198,2387,10092,0,音乐现场
58639753,102256271,2182,3454,14530,19626,4600,26538,0,明星综合
22041882,36433231,1253,2905,13265,1169,5915,7554,0,明星综合
20284185,33111702,1231,42421,24027,8693,2289,12566,0,综艺
53045721,92782562,1303,16291,23276,15216,3323,19225,0,音乐现场
38027478,66849254,1226,1782,7069,2433,1406,9835,0,日常
681821051,514818012,45,0,80,5,16,740,0,日常
722171297,458238824,1997,833,3445,572,107,13209,0,音乐综合
77248076,132127459,1095,2322,7213,4648,1085,37898,0,日常
26209623,44989113,2751,1473,826,62,350,1630,0,娱乐杂谈
886765672,299866033,541,300,2109,722,62,33339,0,综艺
592971408,476247584,429,741,7795,3095,691,7011,0,粉丝创作
48162685,84358826,1126,5836,27509,9671,3915,18852,0,音乐现场
26591971,45730060,3689,8732,17636,68833,7537,27018,0,演奏
764614710,452131147,13879,11444,34671,55648,24106,43915,0,音乐现场
68169185,118157762,8326,34648,37811,44641,12182,56935,0,音乐综合
7993655,13131823,5728,16397,72323,17693,27881,46854,0,综艺
295790428,489793920,284,76,1968,384,186,7893,0,明星综合
209449302,450706227,1032,833,2890,4851,1761,14043,0,日常
28078429,48520061,502,742,8392,888,675,8416,0,明星综合
30615231,53439486,1806,6370,12912,1494,1163,31456,0,明星综合
7809706,12842281,1594,10172,25345,3999,11426,12967,0,音乐综合
328683013,208599826,4716,5970,2384,4126,725,16569,0,音乐综合
586330931,286178083,13494,286521,16767,38741,14696,162204,0,人文历史
636186829,499499637,556,137,754,1223,110,2788,0,综艺
285967181,200640843,4106,10878,17235,10643,4379,23025,0,音乐现场
801993105,304077682,5535,5096,1044,625,1017,11989,0,音乐综合
551151145,497563110,181,148,88,7,5,2402,0,娱乐杂谈
925838621,196841092,3121,3869,8399,8837,4997,54850,0,美妆护肤
892550768,466868166,449,302,6319,1141,12,9848,0,音乐综合
465812689,489544898,15,150,105,9,2,137,0,明星综合
89105334,152198116,526,4448,21084,5482,3059,23649,0,粉丝创作
764507590,451378227,17244,17064,42329,60591,32118,53439,0,音乐现场
370077788,173745468,1197,3357,6456,335,1478,16811,0,综艺
37647012,66187452,270,337,5051,381,228,5714,0,明星综合
455312396,179740994,2484,4366,11074,9876,1932,17954,0,社科·法律·心理
464630232,457460802,666,802,9839,4040,3654,10945,0,音乐现场
57498043,100377200,1271,6749,29846,20318,2609,29718,0,娱乐杂谈
92485159,157912073,8813,12326,32843,34221,10580,48577,0,综艺
806957774,450739653,495,2285,8450,2112,572,6748,0,音乐现场
40511083,71148850,430,1352,5398,260,482,8129,0,娱乐杂谈
85590388,159159350,993,2972,15781,14027,5544,22733,0,粉丝创作
211989521,540788103,108,73,27,19,16,553,0,综艺
22545920,37491438,602,14162,27484,8210,1512,16533,0,明星综合
48420937,84807357,466,3066,9669,1134,2741,12004,0,综艺
16585807,27051394,980,2541,14500,4793,5275,13660,0,音乐现场
17766485,29007122,131,257,3122,760,373,5450,0,明星综合
50114004,87686053,751,27754,25236,8028,1182,19146,0,综艺
809473602,541152180,51,6,23,0,1,165,0,明星综合
850332713,473568570,869,823,3441,7972,652,8426,0,演奏
467200103,545708725,96,10,134,25,22,846,0,明星综合
27656115,47730554,3697,5505,3369,812,1034,6102,0,音乐综合
59579559,103784124,724,901,1832,124,71,8038,0,音乐综合
592031593,453984439,4505,2542,10679,7376,5564,16960,0,音乐现场
549239895,441761107,697,3553,932,857,53,7197,0,娱乐杂谈
91577524,156374771,4806,8168,15704,34170,6128,35804,0,日常
97974503,167247088,9227,22561,26355,39774,10240,39489,0,综艺
506898036,448538772,787,585,4137,6223,1003,12745,0,演奏
849940313,464038721,35,12,415,45,2,900,0,娱乐杂谈
380274112,475393295,362,747,3283,1446,342,5564,0,音乐现场
893095628,482124500,668,256,267,58,765,4245,0,娱乐杂谈
45067318,78926189,578,4313,3929,345,496,5810,0,综艺
676815605,444073477,4409,1336,6315,3206,3567,12501,0,明星综合
76483811,130827700,1385,14066,25771,15252,5252,26578,0,粉丝创作
39879067,70036154,2082,13604,16415,13213,4265,15063,0,音乐现场
455019827,170457330,7625,44926,23580,38027,7445,40472,0,综艺
636657159,511756419,128,103,95,2,8,657,0,明星综合
295353927,474503771,420,363,2019,573,196,4397,0,音乐现场
372748590,251531344,676,397,927,1852,84,21523,0,音乐综合
497776484,178236499,1442,4250,15448,21565,4091,19785,0,粉丝创作
508846189,501521987,474,537,214,40,11,1859,0,搞笑
70039770,121351868,2069,6555,11109,1717,7208,17651,0,明星综合
22163416,36659504,1380,3116,21404,7388,4343,17854,0,音乐现场
75795973,129664078,1861,5151,12317,5886,5686,16280,0,音乐现场
40926337,71888134,2360,6663,31342,20440,8761,29151,0,音乐现场
422130598,455587304,7499,9933,29530,46115,17674,37685,0,音乐现场
35380437,62017696,1781,3958,6913,7254,741,12080,0,音乐现场
752676819,175864468,3619,1872,5397,905,8918,20156,0,日常
380023767,469372437,188,330,227,472,30,2443,0,音乐综合
27151492,46792483,1744,1048,420,98,126,1425,0,综艺
338261468,488651306,321,616,1240,335,87,2408,0,明星综合
852012856,543106071,20,29,15,35,1,265,0,影视杂谈
83049300,142069255,3430,6489,23114,52231,12659,56374,0,音乐综合
935856647,488500596,90,95,77,293,9,911,0,音乐综合
509500255,542666400,97,174,93,291,13,1292,0,音乐综合
678787662,503296920,377,521,2385,236,53,5243,0,音乐综合
295298477,473907379,791,891,219,29,136,3089,0,音乐综合
421916220,450920721,15009,11565,19421,15084,10736,30093,0,音乐现场
57451224,100289201,1274,3256,21251,18104,6306,27429,0,音乐综合
79163251,135577851,1520,1788,21821,21835,4403,28089,0,音乐综合
677782911,474620132,41,32,3503,659,9,5404,0,明星综合
671257849,286404710,3191,2898,2665,5411,1040,36745,0,综艺
550111344,468087359,3303,4066,14211,22915,7931,20094,0,音乐现场
467177539,546553498,59,36,30,152,7,769,0,音乐综合
49998568,87533819,581,3410,3308,180,1382,8065,0,综艺
625549485,188681205,678,1417,19476,5456,777,22468,0,音乐综合
37118634,65229846,1021,2301,13490,3132,1622,15834,0,演奏
28524365,49364059,3726,16808,6539,2535,2139,9703,0,音乐综合
211934698,540131485,5,1,23,4,0,56,0,明星综合
331265787,286979409,5773,6581,5057,8234,1521,53630,0,美妆护肤
465614691,481473583,356,205,147,51,7,1389,0,音乐综合
849538783,454083672,1116,441,6429,2937,3905,9775,0,音乐现场
16837477,27507919,1030,2162,23739,9949,6430,20407,0,音乐现场
460204039,325189856,795,161,1604,300,1683,6349,0,搞笑
11859207,19581666,465,665,17165,2194,2667,7797,0,音乐综合
20157029,32903302,2405,3862,23986,20549,3995,26238,0,MV
412781062,178571601,1886,1331,10698,12081,2195,21924,0,音乐综合
75253913,128728240,1599,5470,16669,5533,3459,22799,0,综艺
97742770,166855381,778,5965,10969,8508,1078,36915,0,粉丝创作
296675436,512251249,127,97,60,192,5,1090,0,音乐综合
22060213,36466001,372,1844,2856,1314,367,5182,0,娱乐杂谈
7731183,12673704,11442,20207,93768,30856,33584,57456,0,明星综合
382169858,545489571,12,25,15,1,0,140,0,明星综合
21097888,36424319,0,505,7057,283,900,5258,0,明星综合
27406500,47265368,1492,2538,4376,919,1196,7849,0,音乐现场
209396110,449747960,6260,3744,20654,13916,10373,28145,0,音乐现场
22194306,36718451,878,781,3475,821,874,4602,0,音乐现场
85677810,205039333,1283,6939,26594,25265,8483,31396,0,音乐现场
19522383,31832347,1691,2456,20436,10229,5205,20139,0,综合
838512772,205244110,28760,108227,47813,76279,23226,77062,0,音乐现场
625609484,188750692,952,2346,8014,6039,1307,20390,0,综艺
79261362,135638658,1450,3522,17357,11514,3868,17865,0,粉丝创作
719515343,454151184,584,675,4669,2906,1108,7272,0,音乐现场
26479688,45516425,1693,965,1389,207,420,5323,0,明星综合
465526674,479746431,6,1,99,8,0,201,0,明星综合
252921310,478596087,270,734,105,162,9,759,0,娱乐杂谈
465629727,485388258,972,651,2621,235,60,76140,0,娱乐杂谈
76207047,130351633,5692,11717,42167,18429,22960,46979,0,明星综合
41981972,88085080,925,31651,18687,3623,1555,12073,0,综艺
498366891,194665630,1879,2264,26661,24347,7270,32219,0,翻唱
19226854,31356089,2848,13849,21457,8557,4331,12512,0,音乐现场
91410059,156090212,759,4296,8662,4003,1634,24337,0,综艺
30482557,53195052,343,776,12758,2162,3259,11568,0,音乐现场
26478804,45514820,3301,1246,1268,268,438,7191,0,综艺
637199097,545855554,32,18,20,83,5,455,0,音乐综合
971339206,286209430,2322,3912,1899,4254,1871,31731,0,娱乐杂谈
464748156,456943806,6451,17206,24271,38577,15287,31779,0,音乐现场
464532527,454275877,631,496,6876,2083,1785,6318,0,音乐现场
423666867,499365447,104,481,772,249,111,2159,0,明星综合
339057254,510657866,59,44,49,168,5,788,0,音乐综合
77247424,132131112,1333,2569,3589,5593,1309,14463,0,综艺
296821400,515586017,52,28,49,194,10,917,0,音乐综合
6404723,10553910,4706,86745,42787,10744,8646,20316,0,音乐现场
84637066,144752292,367,2744,2676,3127,256,14639,0,娱乐杂谈
551796788,515680810,95,172,53,85,8,761,0,明星综合
507364450,459800891,563,277,3646,3831,582,5934,0,日常
94576698,161454509,1832,7478,10913,24832,2707,26918,0,音乐综合
976790012,444452004,1888,4385,9173,15048,3257,13033,0,音乐现场
721991463,449417045,934,10001,17914,6614,2771,16001,0,音乐现场
455641759,190712676,1920,3269,18298,28526,4599,23640,0,粉丝创作
380839893,488533755,481,1881,1350,996,395,3718,0,音乐现场
886481763,289032568,4051,6784,2734,7014,3105,49493,0,娱乐杂谈
68275430,122937998,5200,34633,12770,10295,3073,11161,0,粉丝创作
764995615,462666645,418,179,1282,127,15,1519,0,音乐综合
18398946,30030920,1824,934,13557,1963,1299,26515,0,综艺
98464926,168088332,1754,2510,8439,2390,1801,10481,0,翻唱
547266529,386955841,2219,1622,5140,2103,380,48363,0,娱乐杂谈
891978359,450371868,749,298,5125,5592,1921,7594,0,演奏
80128837,137230470,8677,40669,670676,575175,146398,789685,0,翻唱
26256553,45083162,630,1297,1969,107,131,2720,0,明星综合
75349543,128883257,5610,18904,35838,42212,10724,47966,0,MV
634778908,461156979,1148,1186,1491,284,1165,6078,0,音乐综合
765477335,479438195,1180,200,5149,5474,955,7749,0,演奏
297016012,541858776,53,56,44,149,5,759,0,音乐综合
421672719,440585776,2723,4057,9609,16296,4670,13104,0,音乐现场
467168961,545669668,31,8,95,21,8,415,0,明星综合
11083947,18349822,2034,4601,20706,4901,5392,10391,0,预告 资讯
79728578,136448865,4987,12513,118881,81243,20461,323557,0,翻唱
78341524,134048974,726,1444,16138,9742,5229,21786,0,明星综合
68463096,118655492,824,2066,6942,12682,2042,20405,0,翻唱
724687639,546288038,39,22,7,55,0,164,0,娱乐杂谈
550033430,467872922,624,879,5593,4995,738,7951,0,粉丝创作
31388065,54815705,714,3513,16475,8625,4345,17176,0,音乐现场
849399121,448035581,878,784,1983,4014,467,8764,0,音乐现场
32923818,57621127,730,1305,1971,1209,178,5754,0,综艺
53415168,93447469,858,1373,1749,587,129,8212,0,音乐综合
766899863,541686911,105,143,92,284,10,1095,0,明星综合
42596435,75266454,682,20514,17886,10478,2010,14771,0,音乐现场
682078554,544756467,22,12,42,4,0,217,0,音乐综合
39060459,68646472,916,4751,3148,3155,591,13766,0,搞笑
86178433,147315277,1642,6566,11221,26948,7296,43558,0,音游
17287018,131080429,1843,5685,29958,14664,16469,23748,0,音乐现场
96116718,164081633,270,302,1434,911,152,6797,0,日常
977334782,461516272,801,613,6752,12254,965,11030,0,粉丝创作
422063562,454177881,581,479,7294,3743,3257,9007,0,明星综合
719389812,450386084,685,631,8490,2789,1961,8220,0,音乐现场
807447251,464585205,105,92,84,218,9,1373,0,音乐综合
76480828,130817069,1419,39613,31545,12735,4746,28710,0,音乐现场
31565971,55192928,2647,6128,30720,12863,16197,27455,0,音乐现场
722311240,460386671,50,70,65,109,4,750,0,音乐综合
416348376,287126611,6703,1824,8219,12238,8525,74626,0,人力VOCALOID
295391285,478811773,155,254,71,319,11,1126,0,音乐综合
765431916,478403665,15,69,562,45,5,916,0,音乐综合
84041788,143767308,1323,1951,12889,21113,3013,22791,0,演奏
76945679,338604102,3414,12143,41566,21128,25310,40855,0,粉丝创作
287759367,257833208,4585,33188,24942,27545,12863,26198,0,音乐现场
634725617,456315649,6232,9480,24129,38426,14444,30868,0,音乐现场
677465772,462485024,121,222,99,222,11,1467,0,音乐综合
892788019,474414401,53,104,192,30,17,474,0,音乐现场
582747516,176608437,186,69,202,117,14,1815,0,日常
78841150,134904259,215,766,1873,946,189,9844,0,娱乐杂谈
849722492,455381386,1541,1837,7523,4689,3018,13598,0,音乐现场
242610443,173610964,1511,4122,13724,11782,2013,19815,0,日常
96080362,164013393,21613,84918,36869,53499,18385,59366,0,综艺
75969881,129954525,15220,33480,70365,36974,49961,79097,0,音乐现场
54636530,95575237,95,557,1465,81,55,2786,0,音乐综合
78081963,133581024,958,5075,6638,17542,2986,18773,0,娱乐杂谈
16094842,26257892,1533,3800,23711,3655,4298,14552,0,音乐综合
335721787,415381494,251,18,197,6,12,14308,0,粉丝创作
61325397,106681350,794,1869,12019,15228,2960,20210,0,音乐综合
211238366,497473359,76,154,59,336,11,965,0,音乐综合
12064764,19904234,616,2690,9622,1233,1607,9042,0,MV
76192711,130327825,1011,2788,23026,6976,3649,14878,0,音乐现场
31639597,55327583,5540,9780,46957,34014,29550,43223,0,音乐现场
296994401,540838055,84,69,18,4,11,339,0,明星综合
807783883,474493000,3,2,39,8,3,126,0,明星综合
89556163,152955969,2184,7314,30133,62281,11701,60115,0,音乐综合
87905174,151911268,656,3323,16959,15552,3530,21843,0,音乐现场
850556912,482848671,843,225,224,105,1393,1741,0,电子竞技
253311969,487178675,125,143,36,161,6,728,0,音乐综合
71973515,124708190,5377,6960,18020,31442,5291,32082,0,MV
840051242,173590875,2227,2595,7867,13134,2038,22510,0,综艺
4345917,7033268,1310,6304,17825,2995,3099,7488,0,明星综合
290384171,333102483,255,208,1356,563,64,5200,0,娱乐杂谈
44290463,77555413,1467,2426,9406,21760,3890,23819,0,翻唱
883030281,207623713,1382,8121,17712,15668,4206,20226,0,音乐综合
94792596,161755107,497,2442,3550,4974,475,18676,0,综艺
339312131,515513142,148,207,172,16,2,1598,0,音乐综合
89329418,152576196,1441,870,12427,18336,2232,30503,0,演奏
722348880,461417053,306,327,188,648,33,2361,0,音乐综合
94671968,161596494,948,1909,15899,18421,6934,23068,0,影视剪辑
253115012,480221765,1373,854,3160,2363,525,6260,0,音乐现场
91370382,168812075,3965,3787,51534,53239,7591,109723,0,翻唱
91414711,156097613,1447,2212,3415,10553,1431,30763,0,手工
721916669,450394290,5768,2840,15943,10919,7229,21669,0,音乐现场
678733847,500349655,73,76,62,191,8,986,0,音乐综合
90495221,154547563,2495,3954,6276,5886,7022,20084,0,综艺
31958621,56000492,338,1334,16775,2672,1446,8643,0,音乐综合
464967648,462911240,117,150,1312,232,222,4953,0,明星综合
25207578,42738531,1191,6264,3463,215,1370,4334,0,音乐综合
4467162,7238990,312,184,1766,86,145,1128,0,综艺
86551497,147919418,885,4715,5067,10923,6583,20185,0,音游
252769437,474430098,8,1,30,6,3,128,0,明星综合
31580310,55201521,1157,1646,16029,14378,4536,19324,0,演奏
53012133,92745478,390,954,12036,2034,1805,11471,0,音乐现场
463394051,421227721,11100,23057,16472,27965,8030,22362,0,音乐现场
379445634,450246239,1646,1076,7790,3918,3414,10326,0,音乐现场
668145172,193416762,1005,1577,8052,10463,1362,29583,0,演奏
77362930,132265010,996,37215,23824,8661,3475,19966,0,音乐现场
809618230,545137099,47,26,25,134,8,618,0,音乐综合
16619546,27107063,583,692,3788,1563,284,3374,0,翻唱
379727958,456381126,187,332,3810,1011,1059,2536,0,音乐现场
13413662,21976412,950,2911,2281,1509,464,3596,0,娱乐杂谈
968261358,193781379,1006,1623,6481,10551,2155,27936,0,翻唱
626397338,214397673,3340,5572,11228,23998,2959,24892,0,明星综合
679730171,545724774,11,4,217,10,11,8044,0,明星综合
886280890,285937159,24643,4186,1901,743,4205,25671,0,明星综合
78092599,133610441,4598,15346,160205,196332,47568,206605,0,MAD·AMV
1745163,2666078,4347,6542,35012,9986,6326,31000,0,MV
54525639,97586206,5843,87355,14929,10961,3303,13798,0,粉丝创作
677814285,474529113,60,22,230,46,28,558,0,音乐现场
806788804,446309718,2016,1978,6261,11772,2084,16547,0,明星综合
681371631,503746103,350,28,480,137,18,2557,0,手工
331483203,289307832,1392,2936,8128,11707,3060,26522,0,社科·法律·心理
421355775,432206183,2544,3642,10657,18220,4159,14416,0,音乐现场
76903084,131451067,680,24265,20776,6692,1923,15991,0,音乐现场
47080497,82456597,2014,8619,1728,207,2386,5858,0,音乐综合
78326262,134021788,326,1807,2928,1802,388,13969,0,娱乐杂谈
75627126,129373780,738,2397,1888,2274,1240,10397,0,翻唱
