v_name,v_link,v_img,v_dur,v_num_play,v_time,u_link,u_id,v_id,aid,cid,reply,danmu,favorite,coin,share,like,tname,tag,tag_num
【一分钟恋人】华晨宇直播齁甜甜甜甜甜合集,https://www.bilibili.com/video/BV1qT4y127e7?from=search,https://search.bilibili.com/video?keyword=%E5%8D%8E%E6%99%A8%E5%AE%87&from_source=webtop_search&spm_id_from=333.851,75,46000,2021-12-31,https://space.bilibili.com/279365138?from=search,279365138,BV1qT4y127e7,935343272,473848340,364,192,3364,1415,398,6506,明星综合,华晨宇*娱乐花式安利官*直播*高甜*花花*打卡挑战,6
绝了，这才是《浮夸》！ 华晨宇的浮夸，确实浮夸！,https://www.bilibili.com/video/BV1gA411u7uW?from=search,https://search.bilibili.com/video?keyword=%E5%8D%8E%E6%99%A8%E5%AE%87&from_source=webtop_search&spm_id_from=333.851,43,2293000,2021-01-26,https://space.bilibili.com/1370323921?from=search,1370323921,BV1gA411u7uW,331365882,288003982,9601,5951,10222,1713,53324,27342,娱乐杂谈,明星*华晨宇*浮夸*娱乐*花花*歌手*剪辑*音乐*现场*娱乐圈,10
【华晨宇】”我说 你根本就不明白！”,https://www.bilibili.com/video/BV1v44y157cS?from=search,https://i0.hdslb.com/bfs/archive/fbad38008df975555491b9605b5341da948a153d.jpg@480w_300h_1c.webp,73,91000,2022-01-09,https://space.bilibili.com/580525331?from=search,580525331,BV1v44y157cS,978102457,480824557,1118,495,10272,15793,1285,16287,粉丝创作,华晨宇*混剪*剪辑*踩点,4
【华晨宇】2021火星演唱会11月26日场次晚上场全程多机位饭拍剪辑,https://www.bilibili.com/video/BV1Um4y19751?from=search,https://i1.hdslb.com/bfs/archive/54cff3dfa8592faecb47764ddc96b00884b7357e.jpg@480w_300h_1c.webp,8870,59000,2022-02-20,https://space.bilibili.com/192560116?from=search,192560116,BV1Um4y19751,679245199,514217682,1564,13211,7339,5261,1603,8070,音乐现场,音乐现场*华晨宇*演唱会*音乐*LIVE*现场*海口*饭制剪辑*多机位,9
【华晨宇 | 2022生贺】你不转弯做自己，我不转弯爱你,https://www.bilibili.com/video/BV1oR4y1K7u9?from=search,https://i2.hdslb.com/bfs/archive/4926644d319bbe1fbcc7dfedbbbf155280102bc8.jpg@480w_300h_1c.webp,159,40000,2022-02-01,https://space.bilibili.com/76312837?from=search,76312837,BV1oR4y1K7u9,338437441,502234055,287,269,3000,2368,269,6718,粉丝创作,明星*华晨宇*爱豆安利挑战*饭制*个人向*剪辑*生贺*ET*盛夏光年*火星人*歌手*跟着UP主创作吧（第二期）,12
【史上最垃圾翻唱】华晨宇他又把我逼死啦！,https://www.bilibili.com/video/BV1bZ4y1k72i?from=search,https://i1.hdslb.com/bfs/archive/08de2383ed39da24ad7a25756d7933e149c35773.jpg@480w_300h_1c.webp,522,14000,2022-02-22,https://space.bilibili.com/335246573?from=search,335246573,BV1bZ4y1k72i,381748566,514388941,190,477,191,397,51,2657,搞笑,搞笑*逗比*华晨宇*唱歌*男声*花花*音乐*ET*火星人*搞笑研究所,10
?? 她 的 孩 ??,https://www.bilibili.com/video/BV1XK4y1H7L3?from=search,https://i2.hdslb.com/bfs/archive/ec13b4b7b0e588a0d7ab5d1ffed5660a242f797b.jpg@480w_300h_1c.webp,317,5385000,2021-02-02,https://space.bilibili.com/7295246?from=search,7295246,BV1XK4y1H7L3,886396030,401990028,18337,30298,147254,403141,111300,477618,翻唱,翻唱*华晨宇*花花*国人男声*全能打卡挑战*打卡挑战*山海*燃向*男声,9
【华晨宇】这个夜店贵公子，我能看一百遍～,https://www.bilibili.com/video/BV1et411f7xS?from=search,https://i2.hdslb.com/bfs/archive/85a573dc94fe2c341a5a74e15e15d0e7dc6841c5.jpg@480w_300h_1c.webp,19,507000,2018-10-11,https://space.bilibili.com/23623223?from=search,23623223,BV1et411f7xS,33589453,58806429,641,706,19760,4189,2893,15669,明星综合,明星*华晨宇*贵公子,3
【华晨宇】请 超度我 /“放下执念 你不是一无所有”,https://www.bilibili.com/video/BV1Gb4y1z7qU?from=search,https://i0.hdslb.com/bfs/archive/1165afe3b0bcfd35ff20059c1fa002cfec537a7f.jpg@480w_300h_1c.webp,183,203000,2021-08-01,https://space.bilibili.com/290799191?from=search,290799191,BV1Gb4y1z7qU,632083916,487542756,1402,1250,7507,9392,1079,10465,明星综合,华晨宇*暑期影视嘉年华·原创短片*超度我,3
【华晨宇】新歌旋律重编｜循环预警｜他的旋律 与 爱尔兰的原野,https://www.bilibili.com/video/BV1jL4y1p7pb?from=search,https://i0.hdslb.com/bfs/archive/b99571b72b35e2ab760020151944c3c1438745b4.jpg@480w_300h_1c.webp,124,251000,2021-11-18,https://space.bilibili.com/24850370?from=search,24850370,BV1jL4y1p7pb,849351363,444486907,1557,936,12172,13106,3788,17531,音乐综合,演奏*华晨宇*音乐*翻弹,4
圈里人都知道？王悦伊融入华晨宇朋友圈，社交账号已关注张歆艺,https://www.bilibili.com/video/BV1br4y1z7fS?from=search,https://i0.hdslb.com/bfs/archive/04a32b963ed66d81fb16bb3b9fafeda0be0d1fa5.png@480w_300h_1c.webp,62,15000,2022-03-03,https://space.bilibili.com/692690580?from=search,692690580,BV1br4y1z7fS,766885889,540744777,30,3,5,0,2,59,明星综合,明星*热点*八卦*资讯,4
【王牌对王牌】“白敬亭拉华晨宇脚踝的一瞬间—绝了！”,https://www.bilibili.com/video/BV1ui4y117qB?from=search,https://i2.hdslb.com/bfs/archive/51e932b09bd4a29b1a546d251e02f2fdae0ea440.jpg@480w_300h_1c.webp,22,55000,2022-03-04,https://space.bilibili.com/1202650057?from=search,1202650057,BV1ui4y117qB,552027866,541744051,146,35,494,53,65,1563,综艺,综艺*王牌对王牌*娱乐一起FUN*白敬亭*华晨宇*搞笑,6
【华晨宇｜孤勇者】去他的2021！,https://www.bilibili.com/video/BV1rr4y1m7pV?from=search,https://search.bilibili.com/video?keyword=%E5%8D%8E%E6%99%A8%E5%AE%87&from_source=webtop_search&spm_id_from=333.851&page=2,215,147000,2022-01-01,https://space.bilibili.com/242570278?from=search,242570278,BV1rr4y1m7pV,765312866,476963483,1738,1212,7243,9451,1171,12050,音乐综合,华晨宇*歌手*剪辑*明星,4
华晨宇“变脸史”，减肥可以让鼻子挺下巴尖吗？,https://www.bilibili.com/video/BV1DF411t7YB?from=search,https://search.bilibili.com/video?keyword=%E5%8D%8E%E6%99%A8%E5%AE%87&from_source=webtop_search&spm_id_from=333.851&page=2,93,226000,2022-03-02,https://space.bilibili.com/28456799?from=search,28456799,BV1DF411t7YB,296897114,540180795,846,631,325,52,180,3578,明星综合,明星*瘦身*花花*生活*减肥*华晨宇,6
【王牌对王牌6】华晨宇《一起摇摆》,https://www.bilibili.com/video/BV1Sh411Q7AY?from=search,https://search.bilibili.com/video?keyword=%E5%8D%8E%E6%99%A8%E5%AE%87&from_source=webtop_search&spm_id_from=333.851&page=2,77,477000,2021-03-19,https://space.bilibili.com/504672822?from=search,504672822,BV1Sh411Q7AY,204667109,312513975,3099,4092,9227,10412,1846,16342,综艺,综艺*王牌对王牌*华晨宇,3
开箱来自华晨宇主理的潮玩marsper大久保博人联名设计,https://www.bilibili.com/video/BV1Pu411Q7fJ?from=search,https://search.bilibili.com/video?keyword=%E5%8D%8E%E6%99%A8%E5%AE%87&from_source=webtop_search&spm_id_from=333.851&page=2,477,22000,2022-03-01,https://space.bilibili.com/19808546?from=search,19808546,BV1Pu411Q7fJ,509478710,519408704,157,208,235,610,40,3031,手办·模玩,开箱*华晨宇*潮玩*大久保博人,4
感受一下来自不服输的华晨宇如何逼迫粉丝成才（可恶，怎么老是被锁退回）,https://www.bilibili.com/video/BV1mL4y1377e?from=search,https://search.bilibili.com/video?keyword=%E5%8D%8E%E6%99%A8%E5%AE%87&from_source=webtop_search&spm_id_from=333.851&page=2,130,22000,2022-02-17,https://space.bilibili.com/15649361?from=search,15649361,BV1mL4y1377e,851536800,510658813,141,50,886,96,63,3702,音乐现场,音乐现场*华晨宇*演唱会*烟火里的尘埃,4
我的天啦噜！这是华晨宇的歌迷嘛？！这也太可怕了吧简直不敢相信啊！！！,https://www.bilibili.com/video/BV1hb411p7Lr?from=search,https://search.bilibili.com/video?keyword=%E5%8D%8E%E6%99%A8%E5%AE%87&from_source=webtop_search&spm_id_from=333.851&page=2,281,884000,2019-04-02,https://space.bilibili.com/154057736?from=search,154057736,BV1hb411p7Lr,48062253,84194081,2693,5724,21219,12347,3810,37662,音乐现场,音乐现场*华晨宇*音乐*演唱会*歌手*歌曲*内地音乐,7
【华晨宇】2021火星演唱会《Somebody That I Used To Know》全程fo,https://www.bilibili.com/video/BV1S34y1X7Hu?from=search,https://search.bilibili.com/video?keyword=%E5%8D%8E%E6%99%A8%E5%AE%87&from_source=webtop_search&spm_id_from=333.851&page=2,270,75000,2021-12-12,https://space.bilibili.com/4974665?from=search,4974665,BV1S34y1X7Hu,807266376,459520513,262,293,5042,1813,623,5225,音乐现场,音乐现场*华晨宇*花花*火星演唱会*LIVE*音乐*华语现场,7
【华晨宇】2021版音域展示（G2-#A5）,https://www.bilibili.com/video/BV1jS4y1G7x3?from=search,https://search.bilibili.com/video?keyword=%E5%8D%8E%E6%99%A8%E5%AE%87&from_source=webtop_search&spm_id_from=333.851&page=2,1391,69000,2022-02-07,https://space.bilibili.com/192560116?from=search,192560116,BV1jS4y1G7x3,681354478,507644165,1083,2470,7332,11448,1102,11705,粉丝创作,明星*音乐现场*华晨宇*演唱会*LIVE*音域*娱你在一起*花花*音乐*歌手,10
日本人听中文歌：华晨宇《小镇里的花》中国有才华的人真的太多了,https://www.bilibili.com/video/BV1bF411b7hZ?from=search,https://search.bilibili.com/video?keyword=%E5%8D%8E%E6%99%A8%E5%AE%87&from_source=webtop_search&spm_id_from=333.851&page=2,334,22000,2022-03-04,https://space.bilibili.com/25239997?from=search,25239997,BV1bF411b7hZ,296984719,541468192,169,145,183,357,27,1371,音乐综合,MV*华语MV*华晨宇*日语*音乐*听歌*reaction*小镇里的花*日本人听中文歌*乐评*明太子,11
【王牌对王牌】华晨宇即兴创作反诈顺口溜对了8个字,https://www.bilibili.com/video/BV1bU4y1f7v6?from=search,https://search.bilibili.com/video?keyword=%E5%8D%8E%E6%99%A8%E5%AE%87&from_source=webtop_search&spm_id_from=333.851&page=2,71,14000,2022-03-05,https://space.bilibili.com/504672822?from=search,504672822,BV1bU4y1f7v6,682006744,542019867,153,152,373,506,212,1262,综艺,综艺*王牌对王牌*华晨宇*UP影剧综指南*UP影剧综指南·艺起看,5
姜云升：我越来越喜欢华晨宇了，这旋律写的就是好,https://www.bilibili.com/video/BV1oT4y1o7mY?from=search,https://i2.hdslb.com/bfs/archive/8116899eba836caac370413a149b88c408dfbcdc.jpg@480w_300h_1c.webp,113,203000,2021-10-22,https://space.bilibili.com/12023948?from=search,12023948,BV1oT4y1o7mY,933721707,429163109,1003,382,2658,352,796,11056,明星综合,明星*华晨宇*音乐*花花*歌手*姜云升*说唱新世代,7
【华晨宇】当着几万人的面敢说这些…内娱顶级白切黑…,https://www.bilibili.com/video/BV1bL4y1n7aJ?from=search,https://i0.hdslb.com/bfs/archive/aeefdf5cbb505c80232096f3e8c5b2e209759287.jpg@480w_300h_1c.webp,40,99000,2021-12-24,https://space.bilibili.com/279365138?from=search,279365138,BV1bL4y1n7aJ,850085282,467064062,188,85,3684,922,416,8417,粉丝创作,音乐现场*明星*华晨宇*花花*演唱会*娱乐圈*内娱,7
【华晨宇】Happy Face？So I HaHaHaHa.,https://www.bilibili.com/video/BV1jq4y1m7jv?from=search,https://i2.hdslb.com/bfs/archive/6c2848bc836b11917c79e7f7e6ce87acfe2f1907.jpg@480w_300h_1c.webp,99,68000,2021-12-26,https://space.bilibili.com/290799191?from=search,290799191,BV1jq4y1m7jv,592596489,469152458,379,273,6474,6330,729,10612,明星综合,华晨宇*娱乐花式安利官*混剪*happy face,4
【华晨宇】山海,https://www.bilibili.com/video/BV1sW411g7XC?from=search,https://i0.hdslb.com/bfs/archive/090db1a6ab45b6b1e1bbcef5f9aa7b1a16d4106d.jpg@480w_300h_1c.webp,310,3913000,2018-03-23,https://space.bilibili.com/98549983?from=search,98549983,BV1sW411g7XC,21102275,34621210,4260,11255,71335,53375,12207,83918,明星综合,华晨宇*山海*自制*明星,4
明星能有多迷之自信？华晨宇痛批毛不易 孟美岐无效教学 网红评专业歌手 张大大捧高踩低,https://www.bilibili.com/video/BV1Mu411D7jJ?from=search,https://i1.hdslb.com/bfs/archive/b1beab214819775efa1e1f627311833bcb16ce8c.jpg@480w_300h_1c.webp,336,1774000,2021-12-28,https://space.bilibili.com/2093758708?from=search,2093758708,BV1Mu411D7jJ,507720144,470185408,1487,2195,3813,782,453,15584,明星综合,音乐现场*杨颖*华晨宇*关晓彤*网红*孟美岐*虞书欣*毛不易*冬日娱乐嘉年华,9
【歌手当打之年】华晨宇燃情唱《寒鸦少年》，一个动作点燃全场,https://www.bilibili.com/video/BV1t741187VE?from=search,https://i1.hdslb.com/bfs/archive/250abe0977d241d25fc884d0a9c8d287f9a34928.jpg@480w_300h_1c.webp,334,3421000,2020-02-08,https://space.bilibili.com/8011552?from=search,8011552,BV1t741187VE,87433139,149454595,14562,27281,77961,64749,29086,109429,综艺,综艺*华晨宇*寒鸦少年*歌手*音乐,5
【华晨宇】华晨宇教苏北北唱“盛夏光年”，终于又听见华晨宇唱歌了，太好听了,https://www.bilibili.com/video/BV1Dt411P7Fg?from=search,https://i1.hdslb.com/bfs/archive/7a519dbb485bc43b75b6737d67c3750f79f1cbd8.jpg@480w_300h_1c.webp,211,564000,2019-07-27,https://space.bilibili.com/177278117?from=search,177278117,BV1Dt411P7Fg,61049573,106216954,800,2284,8656,1364,2189,10903,综艺,综艺*华晨宇*花花*明日之子*盛夏光年*五月天*苏北北,7
华晨宇《你不要想起我》现场版，超稳超好听！,https://www.bilibili.com/video/BV1S4411e7C4?from=search,https://i2.hdslb.com/bfs/archive/ed0e42fa59a0811a07002bc373ff457675cfc924.jpg@480w_300h_1c.webp,242,879000,2019-05-07,https://space.bilibili.com/425403422?from=search,425403422,BV1S4411e7C4,51716349,90534293,1188,2700,11252,2515,945,14414,音乐现场,音乐现场*华晨宇*花花*你不要想起我*音乐*国语现场*青春,7
蔡徐坤打球，肖战跳舞，华晨宇唱歌，哪一位是你的最爱呢！,https://www.bilibili.com/video/BV1GP4y1G7J5?from=search,https://i2.hdslb.com/bfs/archive/c325df8a966e6af485f2b68f7435936167c707dd.jpg@480w_300h_1c.webp,140,564000,2021-12-12,https://space.bilibili.com/161709873?from=search,161709873,BV1GP4y1G7J5,892256087,459791936,34,37,1473,167,20,1542,音乐综合,小鲜肉*华晨宇*蔡徐坤*肖战,4
【持更】笑吐！杨幂是看了多少遍华晨宇唱我管你哈哈！耍帅踩音箱这是华学十级吧！,https://www.bilibili.com/video/BV1Ar4y1D7eE?from=search,https://i2.hdslb.com/bfs/archive/37d3752ed2bbe2b28a44e5043f496f01f9cd9978.jpg@480w_300h_1c.webp,150,166000,2021-12-06,https://space.bilibili.com/676950352?from=search,676950352,BV1Ar4y1D7eE,764719707,455845323,274,146,2222,542,393,8131,明星综合,明星*华晨宇*娱乐花式安利官*娱乐*杨幂,5
《春天花会开》对垒《天赐的声音3》！周深、华晨宇领跑收视！或被《爱乐之都》反杀？,https://www.bilibili.com/video/BV1e34y187oG?from=search,https://i2.hdslb.com/bfs/archive/d9b1afeb605d18c73c95c23f5b8f8fd62f1d51ad.jpg@480w_300h_1c.webp,209,1846,2022-03-10,https://space.bilibili.com/1482495317?from=search,1482495317,BV1e34y187oG,809708389,546131398,227,84,5,2,1,121,综艺,综艺*明星*娱乐*自制*剪辑,5
【华晨宇X张碧晨】这么甜！我居然才发现！就当磕到真的了吧哈哈哈～祝福两位～【bgm：恶作剧】（圈地自萌！不磕他俩cp勿进！！！）,https://www.bilibili.com/video/BV1by4y117e6?from=search,https://i1.hdslb.com/bfs/archive/9957cdc6f78e68d2735c4663a1590993b290e075.jpg@480w_300h_1c.webp,104,1042000,2021-01-22,https://space.bilibili.com/700960739?from=search,700960739,BV1by4y117e6,798828378,285960148,2320,1083,1479,418,1824,9359,娱乐杂谈,明星*华晨宇*CP*甜*花花*这也太宝藏了*吃瓜*必剪创作*张碧晨*歌手,10
华晨宇吟唱到底有多厉害？,https://www.bilibili.com/video/BV197411a7HQ?from=search,https://i1.hdslb.com/bfs/archive/b10e80ecdc2d79ccd1db21e7acb4c54f0681a31b.jpg@480w_300h_1c.webp,700,295000,2020-01-24,https://space.bilibili.com/12659112?from=search,12659112,BV197411a7HQ,84795127,145012934,904,7169,13970,11109,1291,23995,粉丝创作,明星*音乐现场*华晨宇*花花*爱豆安利挑战*华语音乐*音乐*男神*剪辑,9
刘亦菲不在乎男人，杨幂怼到华晨宇无语、,https://www.bilibili.com/video/BV15P4y1c7u7?from=search,https://i2.hdslb.com/bfs/archive/7ada658cfa23ef319cc8d595eb0545b39afe8495.jpg@480w_300h_1c.webp,122,325000,2022-02-25,https://space.bilibili.com/1662999228?from=search,1662999228,BV15P4y1c7u7,894306048,515816892,8,4,1873,92,2,2176,综艺,综艺*娱你在一起*周迅*娱乐*杨幂*剪辑*华晨宇*娱综哔哔官*张雨绮,9
【华晨宇×百家的味道｜综艺】个人CUT(2022),https://www.bilibili.com/video/BV1ou41117op?from=search,https://i0.hdslb.com/bfs/archive/d51462161252a707d58b07cae48405ebab3a8f57.jpg@480w_300h_1c.webp,124500,35000,2022-01-28,https://space.bilibili.com/331479384?from=search,331479384,BV1ou41117op,508510307,495659863,225,1426,2271,489,174,2754,明星综合,综艺*华晨宇*百家的味道*夜骑*热干面*挖藕,6
张碧晨不遮掩了！酒后吐真言：我就是想和他复合！华晨宇瞬间愣住,https://www.bilibili.com/video/BV1mL411N7R6?from=search,https://i0.hdslb.com/bfs/archive/327713b140274fecd051a003305ce83e38221f88.jpg@480w_300h_1c.webp,74,13000,2022-03-05,https://space.bilibili.com/1444509440?from=search,1444509440,BV1mL411N7R6,467059842,541941767,20,8,10,4,1,142,明星综合,明星*华晨宇*情感*生活*爱情*张碧晨,6
【华晨宇｜混剪】红 色 金 鱼,https://www.bilibili.com/video/BV1CY411H7ZY?from=search,https://i2.hdslb.com/bfs/archive/1b350223078dfb4f991043d936f2fd7491c65009.jpg@480w_300h_1c.webp,44,27000,2021-12-24,https://space.bilibili.com/319781851?from=search,319781851,BV1CY411H7ZY,252525019,467607617,255,145,2596,2080,250,3277,明星综合,音乐现场*明星*华晨宇*爱豆安利挑战*演唱会*跟着UP主创作吧,6
