mid,following,follower,name,sex,sign,level,is_up
237257200,52,21772,十六臻,女,"这里十六 
不定期更新翻唱
吉他 雅马哈FG800  
“如果有辨别是非的能力 那就做你想做的”   

",6.0,1
12394995,583,900397,粗犷毛线君,男,"感谢支持  相遇就是缘分
聊天群:166184566 ",6.0,1
275718644,201,3265,寄浔子,女,养成系,6.0,1
13677047,91,1032905,Piano莱特,男,即兴~翻弹 I love piano！   商务合作：2430464149@qq.com,6.0,1
374692347,57,659647,悦耳声乐小课堂,保密,定期更新翻唱和声乐干货视频，想系统化学习唱歌可以加微信：yueersy2019  声乐老师一对一辅导教学喔~,6.0,1
362910209,0,494,老兵开箱,保密,,3.0,1
473563656,51,602,吊扇别转了,男,,5.0,1
32991758,80,835,云久维,保密,隐,6.0,1
733710,183,19289,不愿透露姓名的森岛,男,告别常多于告白。,6.0,1
274412048,66,345338,粤男有话儿,保密,音乐娱乐类综艺up主  商业合作V：18038719871 ,6.0,1
11252239,360,368345,臧无尤,男,偶尔造点曲子。商务请联系微信 colinzang_,6.0,1
4579858,16,6823,Malacandra,男,vicious selection.怪人。军控。颜肉F。,6.0,1
227402254,204,567,秋裤可爱zyl,女,脑洞清奇 踩点精准 曲库庞大 无所不做,6.0,1
25770529,258,2209,華嫂_yu,保密,fo系更新，慎关，啾,6.0,1
449264162,95,94,你永远的荆棘鸟yu,女,"很多人不知道，我们犁的土都是星尘，随风四处飘散。而在一杯雨水中，我们饮下了整个宇宙。——科特·施塔格《诗意的原子》
不定时转发稿件，适当改进",5.0,1
323181103,348,446,国服第一吴彦祖0607,保密,,5.0,1
41288240,22,313766,秀才侃娱乐,保密,靠颜值撑起节目的赵叫兽，为娱乐圈操碎心的冯叫兽，淘宝店搜索“两位叫兽的小店”，商务请联系：jsvip857857,6.0,1
6257205,63,134,泡泡妹妹要抱抱,保密,,5.0,1
504672822,0,92849,浙江卫视,男,初来乍到，浙江卫视官方账号，请多多关注！,6.0,1
396806711,179,1807022,Vicky宣宣,女,"网易云/QQ音乐：Vicky宣宣
商务合作：1746699167@qq.com",6.0,1
498225722,15,213,小小卡西yu啊yu,保密,下个春天回来我就会回家,4.0,1
1767488059,3,1195,娱记社v,保密,娱乐八卦事，尽在娱记社,4.0,1
3062330,120,47539,刘琪Chris,保密,笑果文化编剧 喜剧演员,6.0,1
505881151,1,226,苹果砸中你,保密,,2.0,1
117824066,36,509,叮了个叮叮叮叮叮,保密,,5.0,1
15649361,228,51,浩鸡鸡,保密,,6.0,1
595014228,2,1164,百度潮盛典,保密,百度一下，生活更好,6.0,1
490041941,84,450,来杯芋泥啵啵奶茶吗,保密,"不要芋泥 不要奶茶
要啵啵
内????是本命
韩?是墙头",4.0,1
6576727,396,1221,路西修,保密,限制之下的无所限制,6.0,1
